obj#,nonMCost,sCost,rCost,wCost,cCost,tCost,mCost,locationt=0  
j=4,40971260301372550,40971260300000000,0,0,485000,887550,0,1
j=5,1397400000048600,1397400000000000,0,0,18000,30600,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,2667996000070200,2667996000000000,0,0,26000,44200,0,1
j=8,1406993000048790,1406993000000000,0,0,17000,31790,0,1
j=9,2019686500077625,2019686500000000,0,0,28750,48875,0,1
j=10,8416221400249690,8416221400000000,0,0,87000,162690,0,1
j=11,3677029400129600,3677029400000000,0,0,48000,81600,0,1
j=12,6666085000197600,6666085000000000,0,0,65000,132600,0,1
j=13,85619100003100,85619100000000,0,0,1100,2000,0,1
j=14,698384400040500,698384400000000,0,0,15000,25500,0,1

t=23  
j=0,168150700002700,168150700000000,0,0,1000,1700,0,1
j=1,143812700005940,143812700000000,0,0,2200,3740,0,1
j=2,6549146800135200,6549146800000000,0,0,40000,95200,0,1
j=3,435200002700,435200000000,0,0,1000,1700,740000000000,1
j=4,45180913101429150,45180913100000000,0,0,505000,924150,0,1
j=5,1611960000070200,1611960000000000,0,0,26000,44200,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,2957004000086400,2957004000000000,0,0,32000,54400,0,1
j=8,1579613000066010,1579613000000000,0,0,23000,43010,0,1
j=9,2234771500080730,2234771500000000,0,0,29900,50830,0,1
j=10,9252362200324310,9252362200000000,0,0,113000,211310,0,1
j=11,4169634200118800,4169634200000000,0,0,44000,74800,0,1
j=12,7238221000261440,7238221000000000,0,0,86000,175440,0,1
j=13,97736700006200,97736700000000,0,0,2200,4000,0,1
j=14,815278800051300,815278800000000,0,0,19000,32300,0,1

t=24  
j=0,179737900010800,179737900000000,0,0,4000,6800,0,1
j=1,163900700008910,163900700000000,0,0,3300,5610,0,1
j=2,7209170800125060,7209170800000000,0,0,37000,88060,0,1
j=3,13491200002700,13491200000000,0,0,1000,1700,0,1
j=4,49599956301474430,49599956300000000,0,0,521000,953430,0,1
j=5,1919640000067500,1919640000000000,0,0,25000,42500,0,1
j=6,476000002700,476000000000,0,0,1000,1700,740000000000,1
j=7,3283812000064800,3283812000000000,0,0,24000,40800,0,1
j=8,1834763000077490,1834763000000000,0,0,27000,50490,0,1
j=9,2452586500062100,2452586500000000,0,0,23000,39100,0,1
j=10,10397066200324310,10397066200000000,0,0,113000,211310,0,1
j=11,4611255800099900,4611255800000000,0,0,37000,62900,0,1
j=12,7978315000270560,7978315000000000,0,0,89000,181560,0,1
j=13,114309300006200,114309300000000,0,0,2200,4000,0,1
j=14,974091600048600,974091600000000,0,0,18000,30600,0,1

t=25  
j=0,202571500008100,202571500000000,0,0,3000,5100,0,1
j=1,188524700005940,188524700000000,0,0,2200,3740,0,1
j=2,7852854400219700,7852854400000000,0,0,65000,154700,0,1
j=3,26547200002700,26547200000000,0,0,1000,1700,0,1
j=4,54300673101652720,54300673100000000,0,0,584000,1068720,0,1
j=5,2223480000067500,2223480000000000,0,0,25000,42500,0,1
j=6,14756000002700,14756000000000,0,0,1000,1700,0,1
j=7,3570876000110700,3570876000000000,0,0,41000,69700,0,1
j=8,2111753000077490,2111753000000000,0,0,27000,50490,0,1
j=9,2635691500121095,2635691500000000,0,0,44850,76245,0,1
j=10,11563101400361620,11563101400000000,0,0,126000,235620,0,1
j=11,4954170200143100,4954170200000000,0,0,53000,90100,0,1
j=12,8732359000252320,8732359000000000,0,0,83000,169320,0,1
j=13,130881900003100,130881900000000,0,0,1100,2000,0,1
j=14,1138698000048600,1138698000000000,0,0,18000,30600,0,1

t=26  
j=0,230005900013500,230005900000000,0,0,5000,8500,0,1
j=1,217900700014850,217900700000000,0,0,5500,9350,0,1
j=2,8830394800229840,8830394800000000,0,0,68000,161840,0,1
j=3,39603200002700,39603200000000,0,0,1000,1700,0,1
j=4,59450895501635740,59450895500000000,0,0,578000,1057740,0,1
j=5,2511960000072900,2511960000000000,0,0,27000,45900,0,1
j=6,29036000002700,29036000000000,0,0,1000,1700,0,1
j=7,3941964000121500,3941964000000000,0,0,45000,76500,0,1
j=8,2365433000045920,2365433000000000,0,0,16000,29920,0,1
j=9,2995466500099360,2995466500000000,0,0,36800,62560,0,1
j=10,12826922200347270,12826922200000000,0,0,121000,226270,0,1
j=11,5483557400153900,5483557400000000,0,0,57000,96900,0,1
j=12,9462037000270560,9462037000000000,0,0,89000,181560,0,1
j=13,142999500006200,142999500000000,0,0,2200,4000,0,1
j=14,1278426000045900,1278426000000000,0,0,17000,28900,0,1

t=27  
j=0,264426700010800,264426700000000,0,0,4000,6800,0,1
j=1,271900700014850,271900700000000,0,0,5500,9350,0,1
j=2,9837091600189280,9837091600000000,0,0,56000,133280,0,1
j=3,52659200005400,52659200000000,0,0,2000,3400,0,1
j=4,64563111501613100,64563111500000000,0,0,570000,1043100,0,1
j=5,2791320000070200,2791320000000000,0,0,26000,44200,0,1
j=6,43316000008100,43316000000000,0,0,3000,5100,0,1
j=7,4413708000121500,4413708000000000,0,0,45000,76500,0,1
j=8,2533643000071750,2533643000000000,0,0,25000,46750,0,1
j=9,3297326500071415,3297326500000000,0,0,26450,44965,0,1
j=10,13962544600312830,13962544600000000,0,0,109000,203830,0,1
j=11,6050425400124200,6050425400000000,0,0,46000,78200,0,1
j=12,10226125000255360,10226125000000000,0,0,84000,171360,0,1
j=13,159572100006200,159572100000000,0,0,2200,4000,0,1
j=14,1402477200056700,1402477200000000,0,0,21000,35700,0,1

t=28  
j=0,295439500008100,295439500000000,0,0,3000,5100,0,1
j=1,336052700023760,336052700000000,0,0,8800,14960,0,1
j=2,10744464400212940,10744464400000000,0,0,63000,149940,0,1
j=3,70515200005400,70515200000000,0,0,2000,3400,0,1
j=4,69511935501652720,69511935500000000,0,0,584000,1068720,0,1
j=5,3063960000067500,3063960000000000,0,0,25000,42500,0,1
j=6,86156000013500,86156000000000,0,0,5000,8500,0,1
j=7,4872060000083700,4872060000000000,0,0,31000,52700,0,1
j=8,2756873000094710,2756873000000000,0,0,33000,61710,0,1
j=9,3499736500080730,3499736500000000,0,0,29900,50830,0,1
j=10,15025725400390320,15025725400000000,0,0,136000,254320,0,1
j=11,6519517400143100,6519517400000000,0,0,53000,90100,0,1
j=12,10958593000310080,10958593000000000,0,0,102000,208080,0,1
j=13,176144700031000,176144700000000,0,0,11000,20000,0,1
j=14,1551918000051300,1551918000000000,0,0,19000,32300,0,1

t=29  
j=0,322873900005400,322873900000000,0,0,2000,3400,0,1
j=1,415540700014850,415540700000000,0,0,5500,9350,0,1
j=2,11707907200192660,11707907200000000,0,0,57000,135660,0,1
j=3,88371200005400,88371200000000,0,0,2000,3400,0,1
j=4,74628236301573480,74628236300000000,0,0,556000,1017480,0,1
j=5,3352200000070200,3352200000000000,0,0,26000,44200,0,1
j=6,148526000032400,148526000000000,0,0,12000,20400,0,1
j=7,5223492000097200,5223492000000000,0,0,36000,61200,0,1
j=8,3039113000045920,3039113000000000,0,0,16000,29920,0,1
j=9,3729641500111780,3729641500000000,0,0,41400,70380,0,1
j=10,16340234200327180,16340234200000000,0,0,114000,213180,0,1
j=11,7060777400118800,7060777400000000,0,0,44000,74800,0,1
j=12,11840977000294880,11840977000000000,0,0,97000,197880,0,1
j=13,281282700024800,281282700000000,0,0,8800,16000,0,1
j=14,1709026800037800,1709026800000000,0,0,14000,23800,0,1

t=30  
j=0,346048300010800,346048300000000,0,0,4000,6800,0,1
j=1,479692700011880,479692700000000,0,0,4400,7480,0,1
j=2,12597978400202800,12597978400000000,0,0,60000,142800,0,1
j=3,114483200002700,114483200000000,0,0,1000,1700,0,1
