datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
j=152,516,0,5160000000000,3904200000000000,0,1056000,264000,3909360001056000
j=152,516,1,9494400000000,0,0,448800,132000,9494400448800
j=153,816,0,8160000000000,3590400000000000,0,1000000,250000,3598560001000000
j=153,816,1,15014400000000,0,0,425000,125000,15014400425000
j=154,8628,0,86280000000000,27277200000000000,0,7276000,1819000,27363480007276000
j=154,8628,1,158755200000000,0,0,3092300,909500,158755203092300
j=155,4859,0,48590000000000,52479900000000000,0,14084000,3521000,52528490014084000
j=155,4859,1,89405600000000,0,0,5985700,1760500,89405605985700
j=156,2933,0,29330000000000,13752600000000000,0,3728000,932000,13781930003728000
j=156,2933,1,53967200000000,0,0,1584400,466000,53967201584400
j=157,134,0,1340000000000,1148700000000000,0,356000,89000,1150040000356000
j=157,134,1,2465600000000,0,0,151300,44500,2465600151300
j=158,915,0,9150000000000,5518500000000000,0,1500000,375000,5527650001500000
j=158,915,1,16836000000000,0,0,637500,187500,16836000637500
j=159,2022,0,20220000000000,37675800000000000,0,10124000,2531000,37696020010124000
j=159,2022,1,37204800000000,0,0,4302700,1265500,37204804302700
j=160,1754,0,17540000000000,7554000000000000,0,1960000,490000,7571540001960000
j=160,1754,1,32273600000000,0,0,833000,245000,32273600833000
j=161,93,0,930000000000,1210200000000000,0,344000,86000,1211130000344000
j=161,93,1,1711200000000,0,0,146200,43000,1711200146200
j=162,1339,0,13390000000000,7660800000000000,0,1996000,499000,7674190001996000
j=162,1339,1,24637600000000,0,0,848300,249500,24637600848300
j=163,2600,0,26000000000000,27384300000000000,0,7308000,1827000,27410300007308000
j=163,2600,1,47840000000000,0,0,3105900,913500,47840003105900
j=164,972,0,9720000000000,4729800000000000,0,1280000,320000,4739520001280000
j=164,972,1,17884800000000,0,0,544000,160000,17884800544000
j=165,300,0,3000000000000,3270600000000000,0,904000,226000,3273600000904000
j=165,300,1,5520000000000,0,0,384200,113000,5520000384200
j=166,93,0,930000000000,352200000000000,0,104000,26000,353130000104000
j=166,93,1,1711200000000,0,0,44200,13000,1711200044200
j=167,878,0,8780000000000,10402200000000000,0,2784000,696000,10410980002784000
j=167,878,1,16155200000000,0,0,1183200,348000,16155201183200
j=168,1193,0,11930000000000,10080600000000000,0,2708000,677000,10092530002708000
j=168,1193,1,21951200000000,0,0,1150900,338500,21951201150900
j=169,300,0,3000000000000,1647000000000000,0,452000,113000,1650000000452000
j=169,300,1,5520000000000,0,0,192100,56500,5520000192100
j=170,3349,0,33490000000000,18672000000000000,0,4956000,1239000,18705490004956000
j=170,3349,1,61621600000000,0,0,2106300,619500,61621602106300
j=171,68,0,680000000000,309900000000000,0,76000,19000,310580000076000
j=171,68,1,1251200000000,0,0,32300,9500,1251200032300
j=172,68,0,680000000000,142200000000000,0,36000,9000,142880000036000
j=172,68,1,1251200000000,0,0,15300,4500,1251200015300
j=173,1630,0,16300000000000,29382900000000000,0,7872000,1968000,29399200007872000
j=173,1630,1,29992000000000,0,0,3345600,984000,29992003345600
j=174,7410,0,74100000000000,26845200000000000,0,7092000,1773000,26919300007092000
j=174,7410,1,136344000000000,0,0,3014100,886500,136344003014100
j=175,1035,0,10350000000000,5001300000000000,0,1352000,338000,5011650001352000
j=175,1035,1,19044000000000,0,0,574600,169000,19044000574600
j=176,300,0,3000000000000,2314800000000000,0,652000,163000,2317800000652000
j=176,300,1,5520000000000,0,0,277100,81500,5520000277100
j=177,1717,0,17170000000000,8247600000000000,0,2224000,556000,8264770002224000
j=177,1717,1,31592800000000,0,0,945200,278000,31592800945200
j=178,1630,0,16300000000000,13569000000000000,0,3624000,906000,13585300003624000
j=178,1630,1,29992000000000,0,0,1540200,453000,29992001540200
j=179,9602,0,96020000000000,133313100000000000,0,35632000,8908000,133409120035632000
j=179,9602,1,176676800000000,0,0,15143600,4454000,176676815143600
j=180,516,0,5160000000000,1233000000000000,0,372000,93000,1238160000372000
j=180,516,1,9494400000000,0,0,158100,46500,9494400158100
j=181,816,0,8160000000000,1957800000000000,0,556000,139000,1965960000556000
j=181,816,1,15014400000000,0,0,236300,69500,15014400236300
j=182,371,0,3710000000000,1891500000000000,0,524000,131000,1895210000524000
j=182,371,1,6826400000000,0,0,222700,65500,6826400222700
j=183,1583,0,15830000000000,19903200000000000,0,5344000,1336000,19919030005344000
j=183,1583,1,29127200000000,0,0,2271200,668000,29127202271200
j=184,2034,0,20340000000000,33167700000000000,0,8772000,2193000,33188040008772000
j=184,2034,1,37425600000000,0,0,3728100,1096500,37425603728100
j=185,371,0,3710000000000,1548300000000000,0,456000,114000,1552010000456000
j=185,371,1,6826400000000,0,0,193800,57000,6826400193800
j=186,915,0,9150000000000,2141100000000000,0,576000,144000,2150250000576000
j=186,915,1,16836000000000,0,0,244800,72000,16836000244800
j=187,256,0,2560000000000,2384400000000000,0,652000,163000,2386960000652000
j=187,256,1,4710400000000,0,0,277100,81500,4710400277100
j=188,2034,0,20340000000000,23511000000000000,0,6312000,1578000,23531340006312000
j=188,2034,1,37425600000000,0,0,2682600,789000,37425602682600
j=189,2232,0,22320000000000,18181800000000000,0,4924000,1231000,18204120004924000
j=189,2232,1,41068800000000,0,0,2092700,615500,41068802092700
j=190,1099,0,10990000000000,5853600000000000,0,1532000,383000,5864590001532000
j=190,1099,1,20221600000000,0,0,651100,191500,20221600651100
j=191,626,0,6260000000000,5027100000000000,0,1316000,329000,5033360001316000
j=191,626,1,11518400000000,0,0,559300,164500,11518400559300
j=192,1246,0,12460000000000,7831200000000000,0,2072000,518000,7843660002072000
j=192,1246,1,22926400000000,0,0,880600,259000,22926400880600
j=193,8628,0,86280000000000,78356100000000000,0,20968000,5242000,78442380020968000
j=193,8628,1,158755200000000,0,0,8911400,2621000,158755208911400
j=194,693,0,6930000000000,1754100000000000,0,512000,128000,1761030000512000
j=194,693,1,12751200000000,0,0,217600,64000,12751200217600
j=195,177,0,1770000000000,34701900000000000,0,9352000,2338000,34703670009352000
j=195,177,1,3256800000000,0,0,3974600,1169000,3256803974600
j=196,2135,0,21350000000000,10535700000000000,0,2808000,702000,10557050002808000
j=196,2135,1,39284000000000,0,0,1193400,351000,39284001193400
j=197,1470,0,14700000000000,59233800000000000,0,15812000,3953000,59248500015812000
j=197,1470,1,27048000000000,0,0,6720100,1976500,27048006720100
j=198,1569,0,15690000000000,8323800000000000,0,2180000,545000,8339490002180000
j=198,1569,1,28869600000000,0,0,926500,272500,28869600926500
j=199,68,0,680000000000,244800000000000,0,64000,16000,245480000064000
j=199,68,1,1251200000000,0,0,27200,8000,1251200027200
